set,name,be_new_value,bl_sold_new_avg,lots_new,be_used_value,bl_sold_used_avg,lots_used,be_over_bl_new,be_over_bl_used,bucket
40808-1,Easter Bunny and Chick Egg Hunt,12.99,12.14,6,,,0,1.070,,sparse
75192-1,Millennium Falcon,849.99,672.43,54,,540.37,20,1.264,,healthy
10789-1,Spider-Man's Car and Doc Ock,,8.70,32,8.29,5.21,2,,1.590,healthy
910045-1,Siege Encampment,399.98,336.79,137,,305.80,2,1.188,,healthy
76456-1,Advent Calendar 2025,44.99,24.58,8,,,0,1.831,,sparse
75344-1,Boba Fett's Starship Microfighter,,9.21,165,7.18,6.70,19,,1.072,healthy
71049-10,Haas,7.25,,,,,,,,error/not-found
71052-11,Mysterious Ronin,4.99,,,,,,,,error/not-found
40789-1,Flying Moon Car,32.99,29.25,90,,15.00,1,1.128,,healthy
40816-1,Decorative Easter Egg,,19.99,1,16.59,,0,,,sparse
40765-1,Kamino Training Facility,39.85,35.24,161,,29.83,4,1.131,,healthy
71037-3,Brown Astronaut and Spacebaby,,,,8.25,,,,,error/not-found
71048-7,Longboarder,,,,7.46,,,,,error/not-found
40565-1,Santa's Workshop,,34.31,58,20.00,21.47,3,,0.931,healthy
30716-1,Cute Easter Bunny,8.99,3.46,51,,,0,2.601,,healthy
60247-1,Forest Fire,,11.70,6,5.00,5.08,2,,0.984,sparse
10312-1,Jazz Club,318.60,249.85,170,,204.10,37,1.275,,healthy
71048-1,Hamster Costume Fan,,4.17,17,4.97,,0,,,healthy
76185-1,Spider-Man at the Sanctum Workshop,39.99,34.05,17,,21.00,2,1.175,,healthy
71034-6,Cardboard Robot,,,,2.90,,,,,error/not-found
76386-1,Hogwarts: Polyjuice Potion Mistake,25.00,21.34,120,,13.29,19,1.171,,healthy
40606-1,Spring Fun VIP Add-On Pack,9.98,8.20,111,,,0,1.217,,healthy
71048-8,Bogeyman,,,,6.63,,,,,error/not-found
71049-11,F1 Academy,4.11,,,,,,,,error/not-found
60446-1,Modular Galactic Spaceship,126.60,80.27,16,,40.00,1,1.577,,healthy
76177-1,Battle at the Ancient Village,35.93,29.22,20,,19.01,6,1.230,,healthy
40424-1,Winter Snowball Fight,24.68,21.99,19,,,0,1.122,,healthy
40351-1,Halloween Ghost,,25.98,11,18.43,17.67,8,,1.043,healthy
40564-1,Winter Elves Scene,,19.55,92,20.05,14.06,3,,1.426,healthy
76420-1,Triwizard Tournament: The Black Lake,55.00,40.32,62,,23.39,13,1.364,,healthy
76248-1,The Avengers Quinjet,92.98,74.60,25,,48.81,4,1.246,,healthy
40585-1,World of Wonders,30.00,22.81,94,,11.50,4,1.315,,healthy
40274-1,Mr. & Mrs. Claus,,28.50,29,16.80,16.81,12,,0.999,healthy
71049-6,Alpine,5.50,,,,,,,,error/not-found
71052-3,BIONICLE Cosplayer,4.99,,,,,,,,error/not-found
910057-1,Outlaw Forest Den,438.59,346.73,105,,275.84,2,1.265,,healthy
31120-1,Medieval Castle,133.47,118.54,91,112.30,99.18,15,1.126,1.132,healthy
30383-1,Naboo Starfighter,,8.29,31,4.50,3.80,8,,1.183,healthy
60458-1,Pizza vs. Fire Truck Race Car Pack,,6.90,20,8.30,6.00,1,,1.383,healthy
71034-7,Popcorn Costume,,,,3.94,,,,,error/not-found
40615-1,Tusken Raider,15.00,11.90,42,,9.90,8,1.260,,healthy
40599-1,Houses of the World 4,29.82,26.02,41,,25.00,1,1.146,,healthy
71039-9,Echo,,,,3.13,,,,,error/not-found
41756-1,Ski Slope and Cafe,,93.20,8,90.59,65.00,1,,1.394,sparse
40778-1,Winter Gazebo,39.99,32.41,387,,23.95,2,1.234,,healthy
40773-1,The Goonies: The Walshes' Attic,75.15,62.16,79,,47.50,2,1.209,,healthy
60432-1,Command Rover and Crane Loader,115.00,98.09,16,,75.00,1,1.172,,healthy
75364-1,New Republic E-wing vs. Shin Hati's Starfighter,,84.68,66,56.79,68.08,12,,0.834,healthy
71039-10,Beast,,,,4.97,,,,,error/not-found
60226-1,Mars Research Shuttle,,38.34,24,18.59,20.12,15,,0.924,healthy
